Attaching to envoy-repro_envoy-one_1, envoy-repro_envoy-two_1
[36menvoy-one_1  |[0m [2019-05-23 16:31:03.588][1][info][main] [source/server/server.cc:248] initializing epoch 0 (hot restart version=11.104)
[36menvoy-one_1  |[0m [2019-05-23 16:31:03.588][1][info][main] [source/server/server.cc:250] statically linked extensions:
[36menvoy-one_1  |[0m [2019-05-23 16:31:03.588][1][info][main] [source/server/server.cc:252]   access_loggers: envoy.file_access_log,envoy.http_grpc_access_log
[36menvoy-one_1  |[0m [2019-05-23 16:31:03.588][1][info][main] [source/server/server.cc:255]   filters.http: envoy.buffer,envoy.cors,envoy.csrf,envoy.ext_authz,envoy.fault,envoy.filters.http.grpc_http1_reverse_bridge,envoy.filters.http.header_to_metadata,envoy.filters.http.jwt_authn,envoy.filters.http.rbac,envoy.filters.http.tap,envoy.grpc_http1_bridge,envoy.grpc_json_transcoder,envoy.grpc_web,envoy.gzip,envoy.health_check,envoy.http_dynamo_filter,envoy.ip_tagging,envoy.lua,envoy.rate_limit,envoy.router,envoy.squash
[36menvoy-one_1  |[0m [2019-05-23 16:31:03.588][1][info][main] [source/server/server.cc:258]   filters.listener: envoy.listener.original_dst,envoy.listener.original_src,envoy.listener.proxy_protocol,envoy.listener.tls_inspector
[36menvoy-one_1  |[0m [2019-05-23 16:31:03.588][1][info][main] [source/server/server.cc:261]   filters.network: envoy.client_ssl_auth,envoy.echo,envoy.ext_authz,envoy.filters.network.dubbo_proxy,envoy.filters.network.mysql_proxy,envoy.filters.network.rbac,envoy.filters.network.sni_cluster,envoy.filters.network.thrift_proxy,envoy.filters.network.zookeeper_proxy,envoy.http_connection_manager,envoy.mongo_proxy,envoy.ratelimit,envoy.redis_proxy,envoy.tcp_proxy
[36menvoy-one_1  |[0m [2019-05-23 16:31:03.588][1][info][main] [source/server/server.cc:263]   stat_sinks: envoy.dog_statsd,envoy.metrics_service,envoy.stat_sinks.hystrix,envoy.statsd
[36menvoy-one_1  |[0m [2019-05-23 16:31:03.588][1][info][main] [source/server/server.cc:265]   tracers: envoy.dynamic.ot,envoy.lightstep,envoy.tracers.datadog,envoy.zipkin
[36menvoy-one_1  |[0m [2019-05-23 16:31:03.588][1][info][main] [source/server/server.cc:268]   transport_sockets.downstream: envoy.transport_sockets.alts,envoy.transport_sockets.tap,raw_buffer,tls
[36menvoy-one_1  |[0m [2019-05-23 16:31:03.588][1][info][main] [source/server/server.cc:271]   transport_sockets.upstream: envoy.transport_sockets.alts,envoy.transport_sockets.tap,raw_buffer,tls
[36menvoy-one_1  |[0m [2019-05-23 16:31:03.588][1][info][main] [source/server/server.cc:277] buffer implementation: old (libevent)
